Center,CourseType,Courses,NewMale,NewFemale,OldMale,OldFemale,Male,Female,Boys,Girls,TotalStu,MaleServ,FemaleServ
Sangam,10D,6,78,117,106,159,,,,,460,23,57
Sangam,STP,1,,,,,12,30,,,42,2,8
Kumuda,1D,15,,,,,,,,,299,15,30
Manohara,10D,7,7,34,23,94,,,,,158,8,26
MahaPabbata,10D,10,79,211,116,260,,,,,666,30,87
MahaPabbata,STP,1,,,,,19,38,,,57,4,5
Shwe,10D,4,7,30,42,104,,,,,183,9,26
Pabbata,10D,6,53,144,88,224,,,,,509,22,72
Pabbata,1D,3,,,,,,,,,142,8,24
NC Ahtaung,10D,1,4,10,8,21,,,,,43,3,6
NC MongHsu,10D,4,29,150,11,65,,,,,255,9,40
NC MongHsu,1D,9,,,,,,,,,409,18,54
MahaPabbata,1D,2,,,,,,,,,112,3,11
Nanadhaja,10D,6,39,79,83,117,,,,,318,33,43
Nanadhaja,STP,1,,,,,11,26,,,37,4,9
Nanadhaja,1D,5,,,,,,,,,329,30,30
Joti,10D,14,205,361,253,490,,,,,1309,50,90
Nidhi,10D,15,61,159,211,404,,,,,835,38,53
Mahima,10D,16,132,316,263,548,,,,,1259,46,74
Mandala,10D,12,119,252,265,455,,,,,1091,54,62
Mayuradipa,10D,5,9,22,53,101,,,,,185,11,21
Manorama,10D,5,11,29,36,102,,,,,178,8,13
Magga,10D,9,38,85,63,128,,,,,314,49,89
Mittayana,10D,4,7,46,20,42,,,,,115,5,13
Mani,10D,3,16,24,35,32,,,,,107,12,9
Labha,10D,4,11,32,28,85,,,,,156,7,32
Canda,10D,2,6,40,2,21,,,,,69,7,27
Manohara,STP,1,,,,,3,11,,,14,1,3
Mittayana,STP,1,,,,,6,11,,,17,2,4
Mandala,STP,1,,,,,44,69,,,113,4,4
Manorama,STP,1,,,,,12,28,,,40,1,2
Mani,STP,1,,,,,17,12,,,29,3,5
Mahima,STP,3,,,,,51,122,,,173,6,8
Mayuradipa,STP,1,,,,,8,21,,,29,4,5
Nidhi,STP,1,,,,,19,64,,,83,1,2
Joti,STP,2,,,,,54,85,,,139,6,11
Mahima,S10D,1,,,,,31,53,,,84,2,2
Nidhi,20D,1,,,,,18,38,,,56,2,3
Mandala,20D,1,,,,,29,49,,,78,4,3
Mahima,20D,1,,,,,31,55,,,86,2,2
Manorama,Teen,2,,,,,,,10,23,33,1,3
Joti,Teen,1,,,,,,,0,33,33,0,9
Manohara,Teen,1,,,,,,,0,23,23,1,1
Manohara,1D,4,,,,,,,,,42,2,7
Manohara,3D,1,,,,,,,,,7,1,0
Sangam,1D,3,,,,,,,,,202,9,34
Mittayana,3D,1,,,,,,,,,12,1,2
Shwe,3D,1,,,,,,,,,26,1,4
Shwe,2D,1,,,,,,,,,28,1,4
Shwe,1D,11,,,,,,,,,451,24,56
Manorama,1D,7,,,,,,,,,185,7,31
Mayuradioa,1D,8,,,,,,,,,304,21,49
Canda,3D,1,,,,,,,,,8,1,5
Mandala,3D,1,,,,,,,,,37,2,2
Mandala,2D,3,,,,,,,,,150,8,5
Mandala,1D,10,,,,,,,,,760,24,23
Mandapa,1D,1,,,,,,,,,19,2,0
Joti,3D,4,,,,,,,,,325,8,14
Joti,1D,9,,,,,,,,,1001,19,28
Mahima,1D,5,,,,,,,,,199,5,5
Mahima,2D,2,,,,,,,,,54,2,3
Mahima,3D,1,,,,,,,,,11,1,1
